kanji	grade	sentence	target	reading	difficulty
引	2	ドアを強く引く。	引	ひ	1
引	2	新聞を引用する。	引用	いんよう	2
羽	2	鳥の羽が落ちた。	羽	はね	1
羽	2	白い羽毛ぶとん。	羽毛	うもう	2
雲	2	空に白い雲が出た。	雲	くも	1
雲	2	入道雲がわく。	入道雲	にゅうどうぐも	2
園	2	動物園へ行く。	動物園	どうぶつえん	1
園	2	花園で遊ぶ。	花園	はなぞの	2
遠	2	遠くの山が見える。	遠く	とおく	1
遠	2	遠足の準備をする。	遠足	えんそく	2
何	2	何を食べたい？	何	なに	1
何	2	何度も質問する。	何度	なんど	2
科	2	理科の実験をした。	理科	りか	1
科	2	科学の本を読む。	科学	かがく	2
夏	2	夏休みが始まる。	夏休み	なつやすみ	1
夏	2	真夏の太陽。	真夏	まなつ	2
家	2	家に帰る。	家	いえ	1
家	2	音楽家の話を聞く。	音楽家	おんがくか	2
歌	2	歌をうたう。	歌	うた	1
歌	2	校歌を覚える。	校歌	こうか	2
画	2	絵画をかん賞する。	絵画	かいが	2
画	2	映画を見る。	映画	えいが	1
回	2	一回だけ試す。	一回	いっかい	1
回	2	回転ずしを食べる。	回転	かいてん	2
会	2	友だちに会う。	会う	あう	1
会	2	会社につとめる。	会社	かいしゃ	2
海	2	海で泳ぐ。	海	うみ	1
海	2	海外のニュース。	海外	かいがい	2
絵	2	絵をかく。	絵	え	1
絵	2	絵本を読む。	絵本	えほん	2
外	2	外に出る。	外	そと	1
外	2	外国語を学ぶ。	外国	がいこく	2
角	2	角をまがる。	角	かど	1
角	2	直角をはかる。	直角	ちょっかく	2
楽	2	楽しくあそぶ。	楽しい	たのしい	1
楽	2	音楽をきく。	音楽	おんがく	2
活	2	活字を読む。	活字	かつじ	2
活	2	生活を大切にする。	生活	せいかつ	1
間	2	間をあける。	間	ま	1
間	2	時間をまもる。	時間	じかん	2
丸	2	丸をつける。	丸	まる	1
丸	2	弾丸列車のはなし。	弾丸	だんがん	2
岩	2	大きな岩を動かす。	岩	いわ	1
岩	2	岩石を調べる。	岩石	がんせき	2
顔	2	顔を洗う。	顔	かお	1
顔	2	笑顔がすてき。	笑顔	えがお	2
汽	2	汽車に乗る。	汽車	きしゃ	2
汽	2	汽笛の音がした。	汽笛	きてき	2
記	2	日記を書く。	日記	にっき	1
記	2	記号をつける。	記号	きごう	2
帰	2	家へ帰る。	帰る	かえる	1
帰	2	帰国の予定。	帰国	きこく	2
弓	2	弓を引く。	弓	ゆみ	1
弓	2	弓道を学ぶ。	弓道	きゅうどう	2
牛	2	牛が草を食べる。	牛	うし	1
牛	2	牛乳を飲む。	牛乳	ぎゅうにゅう	2
魚	2	魚をつる。	魚	さかな	1
魚	2	金魚を買う。	金魚	きんぎょ	2
京	2	東京に行く。	東京	とうきょう	1
京	2	京都を旅行する。	京都	きょうと	2
強	2	力が強い。	強い	つよい	1
強	2	勉強をする。	勉強	べんきょう	2
教	2	先生が教える。	教える	おしえる	1
教	2	教育について話す。	教育	きょういく	2
近	2	近い店に行く。	近い	ちかい	1
近	2	最近のニュース。	最近	さいきん	2
兄	2	兄と遊ぶ。	兄	あに	1
兄	2	兄弟げんかをする。	兄弟	きょうだい	2
形	2	形を比べる。	形	かたち	1
形	2	図形をかく。	図形	ずけい	2
計	2	計画を立てる。	計画	けいかく	2
計	2	時計を見る。	時計	とけい	1
元	2	元気に走る。	元気	げんき	1
元	2	地元の祭り。	地元	じもと	2
言	2	言葉を学ぶ。	言葉	ことば	2
言	2	発言を聞く。	発言	はつげん	2
原	2	広い原っぱ。	原っぱ	はらっぱ	1
原	2	原因を考える。	原因	げんいん	2
戸	2	戸をしめる。	戸	と	1
戸	2	戸棚をあける。	戸棚	とだな	2
古	2	古い家を見る。	古い	ふるい	1
古	2	中古の本を買う。	中古	ちゅうこ	2
午	2	午後に会おう。	午後	ごご	1
午	2	午前の授業。	午前	ごぜん	1
後	2	後ろを向く。	後ろ	うしろ	1
後	2	年後に会う。	年後	ねんご	2
語	2	日本語を学ぶ。	日本語	にほんご	1
語	2	物語を読む。	物語	ものがたり	2
工	2	工事が始まる。	工事	こうじ	2
工	2	工場を見学する。	工場	こうじょう	2
公	2	公園で遊ぶ。	公園	こうえん	1
公	2	公開授業を見る。	公開	こうかい	2
広	2	広い空。	広い	ひろい	1
広	2	広告を読む。	広告	こうこく	2
交	2	交差点をわたる。	交差点	こうさてん	2
交	2	交流会に出る。	交流	こうりゅうかい	2
光	2	光がさす。	光	ひかり	1
光	2	日光浴をする。	日光	にっこう	2
考	2	よく考える。	考える	かんがえる	1
考	2	参考にする。	参考	さんこう	2
行	2	学校へ行く。	行く	いく	1
行	2	行事にさんかする。	行事	ぎょうじ	2
高	2	高い山をのぼる。	高い	たかい	1
高	2	高校生を見た。	高校	たかい	2
黄	2	黄色い花が咲く。	黄色	きいろい	1
黄	2	黄身をまぜる。	黄身	きみ	2
合	2	合図を送る。	合図	あいず	2
合	2	集合時間を守る。	集合	しゅうごう	2
谷	2	谷川の水。	谷川	たにがわ	2
谷	2	山の谷を下る。	谷	たに	1
国	2	外国を知る。	外国	がいこく	2
国	2	国語の本。	国語	こくご	1
黒	2	黒い猫が歩く。	黒い	くろい	1
黒	2	黒板に書く。	黒板	こくばん	2
今	2	今すぐ行く。	今	いま	1
今	2	今回の試合。	今回	こんかい	2
才	2	天才とよばれる。	天才	てんさい	2
才	2	一才の子ども。	一才	いっさい	1
細	2	細い道。	細い	ほそい	1
細	2	詳細を話す。	詳細	しょうさい	2
作	2	工作を作る。	工作	こうさく	2
作	2	作文を書く。	作文	さくぶん	1
算	2	算数の問題。	算数	さんすう	2
算	2	計算をする。	計算	けいさん	2
止	2	車が止まる。	止まる	とまる	1
止	2	中止になる。	中止	ちゅうし	2
市	2	市役所に行く。	市役所	しやくしょ	2
市	2	市が開かれる。	市	いち	1
矢	2	矢を放つ。	矢	や	1
矢	2	矢印を見る。	矢印	やじるし	2
姉	2	姉と話す。	姉	あね	1
姉	2	姉妹で旅行。	姉妹	しまい	2
思	2	思い出を話す。	思い出	おもいで	2
思	2	考えを思う。	思う	おもう	1
紙	2	紙を折る。	紙	かみ	1
紙	2	手紙を書く。	手紙	てがみ	2
寺	2	寺に行く。	寺	てら	1
寺	2	境内の寺院。	寺院	じいん	2
自	2	自分でやる。	自分	じぶん	1
自	2	自由に話す。	自由	じゆう	2
時	2	時間を計る。	時間	じかん	2
時	2	時々散歩する。	時々	ときどき	1
室	2	教室で学ぶ。	教室	きょうしつ	2
室	2	室内で遊ぶ。	室内	しつない	2
社	2	会社で働く。	会社	かいしゃ	1
社	2	神社を見学。	神社	じんじゃ	2
弱	2	力が弱い。	弱い	よわい	1
弱	2	弱点を知る。	弱点	じゃくてん	2
首	2	首を回す。	首	くび	1
首	2	首都を調べる。	首都	しゅと	2
秋	2	秋の風がふく。	秋	あき	1
秋	2	紅葉が秋を彩る。	秋	あき	2
